"image path","(minimum r, minimum c, maximum r, maximum c, label)"
"/storage/hpc/group/kazic-lab/NN/malaria/images/a9daf82a-a46d-4296-bd72-2c374ed0a193.png","[(945, 927, 1074, 1055, 1), (1432, 431, 1546, 576, 1), (603, 517, 767, 616, 1), (156, 607, 286, 795, 1), (1067, 247, 1183, 385, 1), (1120, 1040, 1321, 1144, 1), (313, 292, 474, 390, 1), (1358, 295, 1498, 426, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/ef815e3a-02a6-4cf8-9262-45bc74c50b00.png","[(603, 508, 708, 610, 5), (755, 1031, 918, 1176, 1), (100, 421, 246, 515, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/6bfe6a90-8a69-4171-8e7f-42dc9417c6d9.png","[(317, 664, 444, 775, 1), (1351, 278, 1488, 402, 1), (1383, 673, 1493, 787, 2), (635, 118, 780, 224, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/00d04a90-80e5-4bce-9511-1b64eabb7a47.png","[(1366, 183, 1497, 316, 1), (380, 632, 489, 739, 3), (374, 57, 490, 179, 1), (60, 437, 196, 516, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/06bbcd42-3ba8-4476-8804-8455f56dd928.jpg","[(1132, 929, 1271, 1080, 4), (890, 241, 1106, 379, 4), (1590, 10, 1764, 166, 1), (348, 908, 586, 1031, 1), (635, 555, 789, 750, 1), (297, 964, 455, 1115, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/22a464ef-c3da-4d56-b37e-e22e95d945e7.png","[(1454, 470, 1560, 605, 1), (1101, 326, 1243, 452, 3), (272, 650, 393, 772, 1), (53, 463, 172, 593, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/a2fc0093-8645-43c7-bdee-ec8ca9484815.png","[(814, 351, 936, 475, 4), (1029, 575, 1170, 691, 6), (1007, 322, 1126, 461, 1), (920, 725, 1067, 857, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/09bcedaa-e007-4692-a13f-ab02c3f872c4.png","[(693, 656, 862, 836, 2)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/7bde7de1-889b-4218-b0e1-e2c04f6a7986.png","[(346, 948, 486, 1081, 1), (1425, 905, 1543, 1028, 4), (231, 932, 350, 1038, 1), (205, 727, 325, 871, 1), (83, 162, 227, 287, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/820bbfea-3dae-46fc-b61a-3d0ed2ea01c2.png","[(1089, 564, 1258, 703, 2)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/43bc935a-f655-45e1-a64d-fcb8b78267a6.png","[(81, 114, 250, 221, 6), (105, 942, 248, 1047, 3), (447, 492, 600, 632, 6)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/27fab82c-5bf0-426f-aeb9-47da829b6629.png","[(324, 879, 454, 1002, 4), (712, 922, 832, 1055, 6)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/035f6c4b-0897-46ab-9c3b-5f3b0feff043.png","[(512, 65, 641, 190, 4), (1211, 764, 1342, 882, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/29648565-fe28-4517-ba72-68df0c82c9c5.png","[(816, 654, 928, 796, 1), (72, 719, 199, 844, 3), (1307, 864, 1433, 980, 1), (101, 890, 332, 1010, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/6695a204-e39c-4418-b904-3f080fdbe7e8.png","[(74, 536, 213, 678, 1), (1331, 905, 1453, 1016, 5), (341, 968, 484, 1108, 1), (567, 836, 716, 971, 1), (677, 588, 807, 737, 1), (244, 520, 386, 657, 1), (631, 190, 766, 347, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/befe6182-266b-4f8a-ac82-3a4154f05f60.png","[(35, 192, 169, 296, 3), (274, 581, 418, 699, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/dc3bdfe9-1565-4cda-9c4e-0979846dab60.png","[(859, 287, 971, 416, 6), (1293, 666, 1431, 799, 1), (1335, 1027, 1440, 1187, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/deab75c9-00bc-488c-8b20-ff4515d85212.jpg","[(458, 373, 613, 522, 1), (838, 631, 1001, 787, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/f11d05e4-538a-4024-8711-b08a4ce3c540.png","[(1142, 965, 1289, 1097, 3), (288, 673, 411, 791, 1), (535, 198, 633, 309, 4), (1389, 960, 1515, 1077, 4), (564, 664, 674, 786, 1), (898, 541, 1017, 695, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/2e8d6a43-0110-4bf4-8e70-20567e513b81.png","[(143, 837, 273, 965, 4), (1102, 222, 1219, 352, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/fd1302e2-3cd2-4a1a-9c13-00f810a9c41b.png","[(610, 789, 726, 895, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/03359d4d-69cb-4146-8286-ca7399366f97.png","[(1100, 234, 1256, 366, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/319c9c52-f316-49f3-baad-4444ab19f85b.png","[(937, 491, 1019, 594, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/bf002a25-6535-4621-be19-56d468be5413.png","[(1080, 1031, 1208, 1154, 1), (637, 612, 778, 708, 3), (365, 861, 489, 966, 1), (821, 374, 985, 472, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/7f528918-27d4-421f-ab57-0cf9c693e697.png","[(592, 412, 720, 553, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/d67655e6-0a80-4a86-b552-1f5e85788377.png","[(75, 841, 170, 930, 6), (42, 463, 165, 571, 1), (1430, 342, 1545, 444, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/565513be-2c20-4ee3-94f3-093869515d3d.png","[(917, 135, 1030, 265, 1), (758, 782, 891, 897, 3), (1365, 900, 1482, 1012, 5)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/9f38055f-4fe6-47fd-a6dd-c0743db4eccf.png","[(245, 412, 357, 537, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/0906111b-bac7-4541-a6dc-da435c0724a8.png","[(1316, 849, 1453, 966, 5), (163, 546, 296, 683, 1), (777, 773, 984, 907, 1), (1188, 512, 1294, 603, 1), (558, 829, 693, 954, 1), (705, 1015, 839, 1149, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/fde0fd54-49cc-42e1-90c6-6b612cd062d8.png","[(495, 270, 590, 369, 6), (962, 485, 1063, 585, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/e9e78ff8-831b-46e9-9785-3eee9acbfcd8.png","[(521, 259, 651, 411, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/c8fd1336-dd0a-4f97-abbf-be2c18b91e02.png","[(1188, 194, 1360, 295, 6)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/458cb2e9-5a7f-437c-ac5d-a56f98a3efdf.png","[(837, 300, 968, 440, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/6347dd6a-cfdf-4cb5-bc50-cff5403cfecb.png","[(672, 535, 819, 655, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/e3ade58d-086c-47fa-9120-76beacb45395.png","[(727, 354, 849, 505, 2)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/b3058064-d817-47dd-a8c4-cdb1f62374f8.png","[(1317, 576, 1457, 685, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/9a25f103-1683-47d1-8b07-ac20fe0b3ee9.png","[(1316, 798, 1445, 955, 6), (1192, 250, 1326, 368, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/9cf0b006-cb5c-47e7-b076-1dcacf1fbfb1.jpg","[(917, 987, 1062, 1113, 4), (397, 530, 533, 656, 4), (918, 141, 1035, 269, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/b701b5c5-b922-4315-b12a-aac4ec65ee8b.png","[(299, 45, 409, 190, 1), (1050, 383, 1213, 518, 1), (897, 566, 1055, 692, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/9258fe22-6406-4d00-b6f0-3f9492925405.png","[(299, 143, 398, 252, 6)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/ca5e6a15-ba65-48ea-8913-2d986e71bf3a.png","[(1383, 807, 1517, 941, 3), (1416, 987, 1538, 1126, 3), (104, 66, 195, 240, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/f1de7c7e-e7d3-45ae-a66c-58538bf6cac1.png","[(857, 716, 1024, 877, 2), (160, 204, 290, 343, 6)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/2bd15b6e-fe2d-49f3-b394-940d024d1f91.png","[(985, 890, 1124, 1026, 3), (82, 350, 252, 480, 3), (1119, 352, 1256, 495, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/471f75c6-bd5d-4c20-bcc1-258e836f4d69.png","[(344, 888, 483, 1033, 1), (980, 358, 1092, 467, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/d82c657e-5678-41da-9a6e-3ad29430b759.png","[(554, 81, 684, 212, 1), (159, 725, 288, 833, 1), (951, 179, 1084, 342, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/9e0e1928-d19a-4100-b093-0b962ac09e05.png","[(86, 364, 178, 490, 1), (348, 409, 468, 540, 3), (1260, 691, 1418, 828, 1), (992, 34, 1148, 150, 1), (1326, 1022, 1450, 1172, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/645cd195-af50-409f-8da9-6e7c7f18ea09.png","[(1041, 814, 1167, 942, 1), (100, 408, 239, 546, 1), (168, 327, 299, 477, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/baa87bf8-786c-444c-81e8-9fa0a41d8149.png","[(1350, 611, 1469, 774, 1), (968, 4, 1099, 125, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/5ff7c0c8-d208-4e7d-958d-ca3c2260ff39.png","[(282, 620, 443, 780, 5)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/3b4440f7-a69b-4042-a9d0-d6958abcdf4e.png","[(768, 927, 864, 1020, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/63ed5931-d93e-4f9b-a6f3-152713cb560e.png","[(278, 637, 406, 777, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/9fe8bdc8-847d-434e-93e5-ae14ff3b45e1.png","[(1158, 725, 1288, 857, 6), (988, 438, 1120, 580, 2), (324, 473, 451, 621, 1), (136, 244, 269, 397, 3), (1171, 354, 1333, 457, 3), (734, 154, 884, 288, 1), (453, 936, 573, 1106, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/57e1879e-4294-45e7-9c1b-627e8cca0271.png","[(893, 329, 1016, 461, 1), (734, 199, 859, 353, 3), (1196, 31, 1322, 170, 1), (1129, 0, 1260, 83, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/4cccfcf0-cac9-46f0-870c-0eabfdc781ba.png","[(28, 170, 155, 298, 4), (1470, 418, 1558, 526, 5), (1257, 1003, 1386, 1130, 3), (566, 143, 676, 302, 1), (682, 588, 777, 674, 6), (988, 468, 1144, 685, 1), (575, 948, 727, 1117, 1), (1397, 881, 1546, 1018, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/9b410534-3b70-4a88-9f93-205cf4e55a05.png","[(890, 242, 1015, 349, 1), (885, 354, 1049, 493, 1), (817, 982, 987, 1101, 1), (113, 462, 254, 641, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/f632981c-1330-4078-8a12-691beb2dab02.png","[(118, 131, 259, 237, 1), (419, 584, 542, 744, 1), (1215, 640, 1369, 738, 1), (270, 141, 415, 250, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/21cc498b-8cb2-42ed-8f80-bfa27b86ef11.png","[(170, 446, 302, 582, 2)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/bbaa004f-05dc-4cb8-8768-e148085bb0f9.png","[(1026, 705, 1170, 856, 1), (107, 259, 243, 391, 1), (112, 867, 262, 987, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/3003252a-2d2e-4687-ad30-9c38d68f1394.png","[(1204, 738, 1333, 872, 1), (161, 810, 281, 967, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/3f8c5ae1-b9fd-464b-8e91-98143ddd8d29.png","[(50, 146, 181, 306, 3), (643, 252, 770, 452, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/e4eea7ea-8989-46a9-9c98-25a178146b28.png","[(444, 485, 603, 606, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/b910c1db-9c66-4207-892f-18a03ecc75bc.jpg","[(262, 434, 431, 588, 1), (1651, 39, 1854, 177, 6), (434, 910, 625, 1047, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/cc453255-b583-425e-bc3e-284ccf120944.jpg","[(824, 506, 961, 613, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/7c68c343-a7d3-4d26-b330-a5bb97ab8d9c.png","[(311, 910, 468, 1040, 3), (933, 305, 1094, 436, 5)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/04018590-4e66-4cb9-ad2d-83570f1b29ae.png","[(969, 278, 1127, 428, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.jpg","[(1245, 496, 1438, 651, 1), (660, 977, 820, 1110, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/f8b6a868-60e9-4569-ae69-638a0c39834d.png","[(613, 648, 732, 796, 1), (416, 700, 561, 847, 2)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/03b9d6ad-39ca-4097-a98b-77f02b3c00a7.png","[(725, 20, 833, 144, 1), (644, 110, 794, 242, 1), (897, 197, 1045, 344, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/28c96a4a-4549-4761-99e4-ace4ea7e7ac9.png","[(1063, 733, 1179, 869, 2)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/c6807595-100a-4aa1-a5f6-882a20ca3d32.jpg","[(896, 405, 1018, 507, 2)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/d0347b49-8f98-4632-a384-1a4f57ac6374.png","[(418, 495, 514, 586, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png","[(1428, 690, 1574, 835, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/239f17eb-a2e2-47e9-82e3-fa0d9a70fb9f.png","[(503, 583, 682, 736, 1), (1016, 836, 1196, 1029, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/2ac343e4-c889-47c1-8fe2-461b626def76.png","[(766, 523, 930, 658, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/8190ec37-9a5e-419f-89ed-fbfb079370db.png","[(290, 949, 414, 1085, 6), (123, 577, 258, 702, 1), (923, 96, 1044, 212, 1), (1471, 95, 1600, 207, 1), (800, 979, 936, 1127, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/2d2e81f3-e329-4765-9ba1-2c95f12dc9f3.png","[(943, 871, 1061, 974, 3), (1313, 1022, 1427, 1148, 1), (873, 505, 1016, 626, 6), (1037, 335, 1162, 440, 1), (698, 504, 823, 633, 3), (181, 358, 342, 493, 3), (807, 729, 931, 853, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/294bc238-efdb-4f88-b83b-f41fe5750106.jpg","[(581, 830, 714, 956, 4), (1055, 515, 1236, 698, 1), (531, 700, 710, 856, 1), (680, 625, 895, 750, 1), (557, 578, 717, 693, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/6388e241-09a2-4fbe-a712-07d8fe714c51.png","[(532, 393, 653, 558, 2), (415, 403, 532, 580, 2)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/eb77e4a9-acb0-4d83-8055-2c5fcaa54b45.png","[(779, 788, 880, 901, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png","[(1021, 355, 1104, 445, 5), (16, 658, 159, 818, 1), (1304, 168, 1432, 314, 1), (210, 623, 417, 749, 1), (1183, 638, 1311, 738, 1), (605, 911, 729, 1020, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/3911fcd2-4e26-4ad9-aaf0-d1c5bf41defc.png","[(926, 420, 1035, 531, 4), (359, 388, 489, 530, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/f4a27dfd-4c52-459f-96b5-ee6b452a3395.png","[(141, 210, 254, 416, 2)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/8eeb378e-90f0-47ea-ac1c-2a201eb8d090.png","[(330, 247, 452, 371, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/a89cace5-c818-4f23-a432-052b3433b81e.png","[(77, 492, 195, 635, 1), (734, 321, 856, 526, 1), (39, 883, 267, 1008, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/0d098413-6911-4535-b70a-3c3effd8cf49.png","[(141, 692, 270, 862, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/f0fe292d-85ae-4c3a-a676-037dde2594e6.png","[(621, 463, 750, 603, 1), (1236, 320, 1374, 475, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/c52f8cc8-afd7-441c-9f1f-18b6e16d79cf.png","[(221, 298, 388, 440, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/550cf4ce-b641-44a3-8487-3e16d4049187.png","[(1463, 656, 1568, 769, 1), (902, 841, 997, 937, 5), (158, 113, 283, 241, 1), (1397, 428, 1526, 564, 1), (1452, 237, 1579, 383, 1), (950, 385, 1063, 526, 1), (314, 402, 447, 528, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/e3ea07d7-884a-412e-874a-40fd6b856736.png","[(301, 728, 468, 862, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/2559636b-f01a-4414-93da-210c3b12d153.png","[(422, 661, 558, 803, 3), (576, 169, 717, 324, 3), (866, 130, 1014, 292, 2), (96, 209, 253, 381, 5)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/4adcaa26-aa1f-47b5-bdf0-18c9f814f576.png","[(745, 492, 882, 647, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/38d1b930-dd97-4248-9160-e9389a1a8dd7.png","[(756, 469, 910, 631, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/ab59c9e4-3e50-48b9-874d-060d317410cc.png","[(899, 379, 1047, 541, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/16ec6e1f-5020-40b3-ba26-51c340d03ee7.png","[(177, 219, 320, 363, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/6d91d1f0-636b-4f5a-a526-7c17fc857190.png","[(853, 511, 960, 661, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/2ae3e6e6-7482-4ab8-ad73-b530b5c2ee3b.png","[(271, 92, 397, 223, 6), (504, 308, 621, 452, 6), (870, 297, 997, 401, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/2102e5d1-8bec-4ab6-ab35-2705485da1f8.png","[(927, 904, 1086, 1063, 3), (231, 258, 387, 399, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/7fdc8be8-7579-4a5c-b369-8a07ee0a8b7d.png","[(367, 294, 496, 433, 3), (204, 724, 329, 840, 3), (1224, 933, 1349, 1069, 1), (547, 1054, 656, 1133, 1), (389, 889, 531, 1034, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/3d4d7ba7-6c7c-4ddd-b282-31fb5d80edb5.png","[(1261, 840, 1377, 948, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/4e43fc22-dc08-4cde-b3ce-ce8a4f377c47.png","[(755, 231, 863, 342, 1), (1121, 1025, 1250, 1145, 1), (759, 779, 874, 888, 4), (490, 967, 615, 1081, 1), (211, 333, 342, 422, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/25ddc1ca-d368-4fff-b1ad-1dbf1e7c97aa.png","[(493, 781, 630, 908, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/177f883a-f0f1-4b8e-b598-2ca4bab27381.png","[(1388, 223, 1560, 350, 2), (452, 190, 600, 321, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/31435107-c77d-42f8-a619-75cba6a5161b.png","[(791, 659, 924, 797, 5), (1066, 926, 1200, 1071, 1), (927, 847, 1079, 974, 1), (1006, 168, 1114, 333, 3), (701, 699, 798, 867, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/b834cbf7-ff97-49d9-9561-566c9343735c.png","[(1021, 836, 1156, 997, 6)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/6bc7b53c-5a98-48ef-a9de-59a476707ea4.png","[(1103, 892, 1221, 1018, 1), (13, 731, 135, 882, 1), (1432, 650, 1554, 808, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/7d4c2160-317f-48d1-a60a-788ec300b3e8.png","[(1116, 966, 1243, 1105, 4), (270, 358, 392, 475, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/468c261d-f5d8-423f-883e-48af2bbbc5d1.png","[(491, 1035, 624, 1139, 1), (597, 18, 720, 157, 1), (1288, 942, 1439, 1071, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/781d4bea-c6a9-4b36-ae10-ba9e328c87fe.png","[(1017, 859, 1172, 1005, 1), (751, 427, 899, 564, 1), (348, 296, 505, 463, 2), (807, 129, 963, 279, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/fcc2b245-f47f-447f-8527-275b0005677c.png","[(718, 70, 854, 209, 3), (538, 964, 707, 1146, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/45651e76-4bd0-45e5-895b-edec65f51987.png","[(898, 383, 997, 490, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/32700bc7-7a86-49d3-aded-ccaaed4ddc5c.png","[(126, 151, 249, 296, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/d1924af6-7512-4ccc-9c6b-adbbaa8db41f.png","[(641, 51, 775, 192, 1), (32, 635, 116, 875, 1), (398, 776, 539, 907, 1), (1352, 806, 1493, 922, 1), (1316, 845, 1478, 1022, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/7beee655-6156-43b8-b185-dbae0eaf7f45.png","[(629, 599, 798, 780, 1), (793, 263, 924, 432, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/04628a94-b674-469b-aff6-b476b70df87d.png","[(451, 753, 588, 899, 2)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/f8b14fc4-dd6b-4ad0-a96d-c62845f48681.png","[(219, 243, 355, 381, 1), (594, 681, 737, 887, 3)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/5cac6ddf-c8c6-45de-bce0-a1db64b14fb5.png","[(1308, 425, 1410, 523, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/1380f9b4-bf54-4492-90c3-743c7aa8898b.png","[(959, 422, 1113, 542, 4)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/ab27173b-6e30-4957-bd68-29194328fd39.png","[(603, 1033, 761, 1158, 1), (784, 14, 901, 161, 1), (61, 232, 175, 355, 1), (1195, 886, 1314, 1041, 1), (771, 603, 936, 696, 4), (655, 503, 818, 644, 1), (1061, 487, 1183, 598, 1), (1115, 589, 1235, 705, 1), (238, 961, 378, 1101, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/b9ccf7ca-953f-4832-9575-5e70b2a8c224.png","[(1397, 359, 1540, 498, 1), (304, 875, 425, 1018, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/f5c395f1-f94c-440d-8221-cc656e52c0b1.png","[(487, 112, 609, 263, 6), (583, 89, 703, 227, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/b8a4d467-c40c-4ebf-91dd-1c19d0f2a7ae.png","[(293, 88, 413, 238, 1), (370, 100, 482, 249, 1), (980, 447, 1110, 537, 1), (971, 623, 1112, 734, 1), (1257, 699, 1393, 881, 1), (53, 860, 167, 1022, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/c84edeb4-311c-4e82-88f9-ae0505b3ad13.png","[(521, 463, 659, 600, 1), (209, 849, 329, 995, 1), (1029, 299, 1170, 432, 1), (285, 654, 392, 832, 1), (481, 116, 659, 287, 1), (533, 644, 680, 832, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/b600b38d-225b-46a5-b6f8-b607430f6a10.png","[(1442, 895, 1588, 1017, 3), (1089, 755, 1225, 884, 1), (295, 306, 432, 422, 1), (3, 262, 136, 384, 4), (428, 113, 619, 215, 1)]"
"/storage/hpc/group/kazic-lab/NN/malaria/images/94b5a9a1-1c88-4400-aca4-3d56f543fc4a.png","[(887, 201, 1065, 299, 3)]"
